osver,release,arch,date,title,kb,updateID,files,sha1
10,21H2,x64,2025-06,2025-06 Dynamic Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5060533),KB5060533,fa0c4838-b3d1-4002-bf0f-d79effbbc0d6,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/06/windows10.0-kb5060533-x64_4c24404c7d3f3cb0b6e1884efdc13acd2b4cac9d.cab'],['4c24404c7d3f3cb0b6e1884efdc13acd2b4cac9d']
10,21H2,x64,2024-01,2024-01 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5034274),KB5034274,eb330275-166c-4aea-9d96-dffaea513b5b,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2023/12/windows10.0-kb5033918-x64-ndp481_f51fac3b44d0c2451030767e2a4624e554e9c226.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2023/12/windows10.0-kb5033909-x64-ndp48_ae6d65030ae80a9661685579932305f66be1907a.msu'],['f51fac3b44d0c2451030767e2a4624e554e9c226', 'ae6d65030ae80a9661685579932305f66be1907a']
10,21H2,x64,2024-02,2024-02 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5034684),KB5034684,e0b198f9-bfd8-42b8-9c5a-89281d9e9053,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/updt/2023/12/windows10.0-kb5034468-x64-ndp48_97594b5cf615541cde5ffd62d7b9b44ea73c873f.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2023/12/windows10.0-kb5034466-x64-ndp481_c9dbd8e13506113523427fef15ecaf08d908db06.msu'],['97594b5cf615541cde5ffd62d7b9b44ea73c873f', 'c9dbd8e13506113523427fef15ecaf08d908db06']
10,21H2,x64,2024-04,2024-04 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5037035),KB5037035,4b90171d-e378-4180-8409-5b9bacaaae73,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/03/windows10.0-kb5036608-x64-ndp48_198eabe96517e4fce368274337c4a500b72337cb.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/03/windows10.0-kb5036618-x64-ndp481_e54bfb45a907b464001111fd61f471f7263b0641.msu'],['198eabe96517e4fce368274337c4a500b72337cb', 'e54bfb45a907b464001111fd61f471f7263b0641']
10,21H2,x64,2024-05,2024-05 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5038284),KB5038284,f4380eaa-d940-4adb-9345-bad743dcb54e,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/04/windows10.0-kb5037592-x64-ndp48_dab09c706a8df769586abc4f254c5c20937132ff.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/04/windows10.0-kb5037587-x64-ndp481_115f29e1b79986792251107a7be02bfb0e7294e4.msu'],['dab09c706a8df769586abc4f254c5c20937132ff', '115f29e1b79986792251107a7be02bfb0e7294e4']
10,21H2,x64,2024-07,2024-07 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5041018),KB5041018,ac662f47-2ef1-4d55-8eba-4b6596d19269,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/06/windows10.0-kb5039884-x64-ndp48_24e7f9b4f56805b752b0562da9439316349157e1.msu', 'https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/06/windows10.0-kb5039893-x64-ndp481_f072c2365a8c1f2427c19e7527e3ef32b509c2bc.msu'],['24e7f9b4f56805b752b0562da9439316349157e1', 'f072c2365a8c1f2427c19e7527e3ef32b509c2bc']
10,21H2,x64,2024-08,2024-08 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5042351),KB5042351,0b5a4a72-cfed-4bbe-9d8d-9e4759bd933b,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/07/windows10.0-kb5042097-x64-ndp481_128df6c49bca1d0d7287649d35c9e3bb093329a3.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/07/windows10.0-kb5042056-x64-ndp48_1a8e9a5a6c21a29210af21efd965f0706cedcda3.msu'],['128df6c49bca1d0d7287649d35c9e3bb093329a3', '1a8e9a5a6c21a29210af21efd965f0706cedcda3']
10,21H2,x64,2024-10,2024-10 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5044090),KB5044090,b01292bb-c32e-4dcb-a7cc-8a0507880087,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/09/windows10.0-kb5044020-x64-ndp48_01927b68990bab8f4b74bfc58e91b0cb2c99f983.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/09/windows10.0-kb5044029-x64-ndp481_7636169b12979c1597e66706e08b6f8557a3fa31.msu'],['01927b68990bab8f4b74bfc58e91b0cb2c99f983', '7636169b12979c1597e66706e08b6f8557a3fa31']
10,21H2,x64,2024-11,2024-11 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5046541),KB5046541,4b7e5b92-39ed-41f5-aa7c-b3d1f09465a9,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/09/windows10.0-kb5045936-x64-ndp48_0ab3fa5252793a95b6f31dea879f837569f751d6.msu', 'https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2024/09/windows10.0-kb5045933-x64-ndp481_9e50b0f56cc1fe0b2d5328a32194f7bcd2a3897e.msu'],['0ab3fa5252793a95b6f31dea879f837569f751d6', '9e50b0f56cc1fe0b2d5328a32194f7bcd2a3897e']
10,21H2,x64,2025-01,2025-01 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5050416),KB5050416,16cfdf90-efdf-4d07-a3d7-f38479a2d3ec,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/12/windows10.0-kb5049613-x64-ndp48_9fb624c593353450a31118a4029ebed77699760b.msu', 'https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/12/windows10.0-kb5049621-x64-ndp481_8cf3ab9195ec940d2da51894fb690b2d21404e8e.msu'],['9fb624c593353450a31118a4029ebed77699760b', '8cf3ab9195ec940d2da51894fb690b2d21404e8e']
